Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Pentium P6000,Discontinued,Q2'10,Arrandale,2,2,32,N/A,1.86,35,3,Intel Smart Cache,8,DDR3 800/1066,N/A,Intel HD Graphics for Previous Gen Intel Processors
Pentium G6950,Discontinued,Q1'10,Clarkdale,2,2,32,N/A,2.80,73,3,Intel Smart Cache,16.38,DDR3,1066,Name Unknown
Pentium E6600,Discontinued,Q1'10,Wolfdale,2,N/A,45,N/A,3.06,65,2,Intel Smart Cache,N/A,N/A,N/A,N/A
Pentium T4500,Discontinued,Q1'10,Penryn,2,N/A,45,N/A,2.30,35,1,N/A,N/A,N/A,N/A,N/A
Pentium T4400,Discontinued,Q4'09,Penryn,2,N/A,45,N/A,2.20,35,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium E6500,Discontinued,Q1'08,Wolfdale,2,N/A,45,N/A,2.93,65,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium E6500K,Discontinued,Q3'09,Wolfdale,2,N/A,45,N/A,2.93,65,2,N/A,N/A,N/A,N/A,N/A
Pentium E6300,Discontinued,Q2'09,Wolfdale,2,N/A,45,N/A,2.80,65,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium E5400,Discontinued,Q1'09,Wolfdale,2,N/A,45,N/A,2.70,65,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium T4200,Discontinued,Q1'09,Penryn,2,N/A,45,N/A,2.00,35,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium E5300,Discontinued,Q1'08,Wolfdale,2,N/A,45,N/A,2.60,65,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium T3400,Discontinued,Q4'08,Merom,2,N/A,65,N/A,2.16,35,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium E5200,Discontinued,Q3'08,Wolfdale,2,N/A,45,N/A,2.50,65,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium E2220,Discontinued,Q1'08,Conroe,2,N/A,65,N/A,2.40,65,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium T2370,Discontinued,Q1'08,Merom,2,N/A,65,N/A,1.73,35,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium E2200,Discontinued,Q4'07,Conroe,2,N/A,65,N/A,2.20,65,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium T2310,Discontinued,Q4'07,Merom,2,N/A,65,N/A,1.46,35,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium T2330,Discontinued,Q4'07,Merom,2,N/A,65,N/A,1.60,35,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium E2180,Discontinued,Q3'07,Conroe,2,N/A,65,N/A,2.00,65,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium E2140,Discontinued,Q2'07,Conroe,2,N/A,65,N/A,1.60,65,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium T2080,Discontinued,Q2'07,Yonah,2,N/A,65,N/A,1.73,31,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium T2130,Discontinued,Q2'07,Yonah,2,N/A,65,N/A,1.86,31,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 935,Discontinued,Q1'07,Presler,2,N/A,65,N/A,3.20,95,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium T2060,Discontinued,Q1'07,Yonah,2,N/A,65,N/A,1.60,31,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 651 Supporting HT Technology,Discontinued,Q2'06,Cedarmill,1,N/A,65,N/A,3.40,86,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 915,Discontinued,Q3'06,Presler,2,N/A,65,N/A,2.80,95,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 925,Discontinued,Q3'06,Presler,2,N/A,65,N/A,3.00,95,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 945,Discontinued,Q3'06,Presler,2,N/A,65,N/A,3.40,95,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium E2160,Discontinued,Q3'06,Conroe,2,N/A,65,N/A,1.80,65,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 524 Supporting HT Technology,Discontinued,Q2'06,Prescott,1,N/A,90,N/A,3.06,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 960,Discontinued,Q2'06,Presler,2,N/A,65,N/A,3.60,130,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 631 Supporting HT Technology,Discontinued,Q1'06,Cedarmill,1,N/A,65,N/A,3.00,86,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 641 Supporting HT Technology,Discontinued,Q1'06,Cedarmill,1,N/A,65,N/A,3.20,86,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 661 Supporting HT Technology,Discontinued,Q1'06,Cedarmill,1,N/A,65,N/A,3.60,86,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 920 (1),Discontinued,Q1'06,Presler,2,N/A,65,N/A,2.80,95,4,N/A,N/A,N/A,N/A,N/A
Pentium D 920 (2),Discontinued,Q1'06,Presler,2,N/A,65,N/A,2.80,95,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 930,Discontinued,Q1'06,Presler,2,N/A,65,N/A,3.00,95,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 940,Discontinued,Q1'06,Presler,2,N/A,65,N/A,3.20,130,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 950,Discontinued,Q1'06,Presler,2,N/A,65,N/A,3.40,130,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium 955 Extreme Edition,Discontinued,Q1'06,Presler,2,N/A,65,N/A,3.46,130,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium 965 Extreme Edition,Discontinued,Q1'06,Presler,2,N/A,65,N/A,3.73,130,4,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 511,Discontinued,Q4'05,Prescott,1,N/A,90,N/A,2.80,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 516,Discontinued,Q4'05,Prescott,1,N/A,90,N/A,2.93,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 540J Supporting HT Technology,Discontinued,Q4'05,Prescott,1,N/A,90,N/A,3.20,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 630 Supporting HT Technology,Discontinued,Q4'05,Prescott,1,N/A,90,N/A,3.00,84,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 662 Supporting HT Technology,Discontinued,Q4'05,Prescott,1,N/A,90,N/A,3.60,115,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 672 Supporting HT Technology,Discontinued,Q4'05,Prescott,1,N/A,90,N/A,3.80,115,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 515/515J,Discontinued,Q3'05,Prescott,1,N/A,90,N/A,2.93,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 517 Supporting HT Technology,Discontinued,Q3'05,Prescott,1,N/A,90,N/A,2.93,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 521 Supporting HT Technology,Discontinued,Q3'05,Prescott,1,N/A,90,N/A,2.80,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 561 Supporting HT Technology,Discontinued,Q3'05,Prescott,1,N/A,90,N/A,3.60,115,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 571 Supporting HT Technology,Discontinued,Q3'05,Prescott,1,N/A,90,N/A,3.80,115,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 506,Discontinued,Q2'05,Prescott,1,N/A,90,N/A,2.66,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 670 Supporting HT Technology,Discontinued,Q2'05,Prescott,1,N/A,90,N/A,3.80,115,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 820,Discontinued,Q2'05,Smithfield,2,N/A,90,N/A,2.80,95,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 830,Discontinued,Q2'05,Smithfield,2,N/A,90,N/A,3.00,130,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 840,Discontinued,Q2'05,Smithfield,2,N/A,90,N/A,3.20,130,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 840 Extreme Edition,Discontinued,Q2'05,Smithfield,2,N/A,90,N/A,3.20,130,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 505/505J,Discontinued,Q1'05,Prescott,1,N/A,90,N/A,2.66,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 640 Supporting HT Technology,Discontinued,Q1'05,Prescott,1,N/A,90,N/A,3.20,84,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 650 Supporting HT Technology,Discontinued,Q1'05,Prescott,1,N/A,90,N/A,3.40,84,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 660 Supporting HT Technology,Discontinued,Q1'05,Prescott,1,N/A,90,N/A,3.60,115,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium D 805,Discontinued,Q1'05,Smithfield,1,N/A,90,N/A,2.66,95,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium M 760,Discontinued,Q2'04,Dothan,1,N/A,90,N/A,2.00,27,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 519K,Discontinued,Q4'04,Prescott,1,N/A,90,N/A,3.06,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 520J Supporting HT Technology,Discontinued,Q4'04,Prescott,1,N/A,90,N/A,2.80,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 530J Supporting HT Technology,Discontinued,Q4'04,Prescott,1,N/A,90,N/A,3.00,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 550J Supporting HT Technology,Discontinued,Q4'04,Prescott,1,N/A,90,N/A,3.40,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 570J Supporting HT Technology,Discontinued,Q4'04,Prescott,1,N/A,90,N/A,3.80,115,1,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Extreme Edition Supporting HT Technology, 3.46 GHz, 2M Cache, 1066 MHz FSB",Discontinued,Q4'04,Northwood,1,N/A,130,N/A,3.46,110.7,2,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Extreme Edition Supporting HT Technology, 3.73 GHz, 2M Cache, 1066 MHz FSB",Discontinued,Q4'04,Prescott,1,N/A,90,N/A,3.73,115,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium M LV 738,Discontinued,Q2'04,Dothan,1,N/A,90,N/A,1.40,7.5,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 541 Supporting HT Technology,Discontinued,Q3'04,Prescott,1,N/A,90,N/A,3.20,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 531 Supporting HT Technology,Discontinued,Q2'04,Prescott,1,N/A,90,N/A,3.00,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 551 Supporting HT Technology,Discontinued,Q2'05,Prescott,1,N/A,90,N/A,3.40,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium M 745,Discontinued,Q2'04,Dothan,1,N/A,90,N/A,1.80,7.5,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium M 745A,Discontinued,Q2'04,Dothan,1,N/A,90,N/A,1.80,21,2,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 520 Supporting HT Technology,Discontinued,Q2'04,Prescott,1,N/A,90,N/A,2.80,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 530/530J Supporting HT Technology,Discontinued,Q2'04,Prescott,1,N/A,90,N/A,3.00,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 540/540J Supporting HT Technology,Discontinued,Q2'04,Prescott,1,N/A,90,N/A,3.20,84,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium 4 550 Supporting HT Technology,Discontinued,Q2'04,Prescott,1,N/A,90,N/A,3.40,115,1,L2 Cache,N/A,N/A,N/A,N/A
Pentium M 725,Discontinued,Q2'04,Dothan,1,N/A,90,N/A,1.60,7.5,2,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4, 2.80 GHz, 512K Cache, 533 MHz FSB",Discontinued,Q1'02,Northwood,1,N/A,130,N/A,2.80,68.4,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Supporting HT Technology, 2.80E GHz, 1M Cache, 800 MHz FSB",Discontinued,Q1'04,Prescott,1,N/A,90,N/A,2.80,89,1,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Supporting HT Technology, 3.00 GHz, 1M Cache, 800 MHz FSB",Discontinued,Q1'04,Prescott,1,N/A,90,N/A,3.00,89,1,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Supporting HT Technology, 3.00E GHz, 1M Cache, 800 MHz FSB",Discontinued,Q2'04,Prescott,1,N/A,90,N/A,3.00,89,1,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Supporting HT Technology, 3.20 GHz, 1M Cache, 800 MHz FSB",Discontinued,Q1'04,Prescott,1,N/A,90,N/A,3.20,103,1,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Supporting HT Technology, 3.20E GHz, 1M Cache, 800 MHz FSB",Discontinued,Q1'04,Prescott,1,N/A,90,N/A,3.20,103,1,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Supporting HT Technology, 3.40 GHz, 1M Cache, 800 MHz FSB",Discontinued,Q1'04,Prescott,1,N/A,90,N/A,3.40,103,1,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Supporting HT Technology, 3.40E GHz, 1M Cache, 800 MHz FSB",Discontinued,Q1'04,Prescott,1,N/A,90,N/A,3.40,103,1,L2 Cache,N/A,N/A,N/A,N/A
"Pentium M 1.60 GHz, 1M Cache, 400 MHz FSB",Discontinued,Q2'03,Banias,1,N/A,130,N/A,1.60,24.5,1,L2 Cache,N/A,N/A,N/A,N/A
"Pentium M LV 1.10 GHz, 1M Cache, 400 MHz FSB",Discontinued,Q2'03,Banias,1,N/A,130,N/A,1.10,12,1,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 2.60 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,Northwood,1,N/A,130,N/A,2.60,62.6,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Mobile - M 2.20 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,Northwood,1,N/A,130,N/A,2.20,35,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 Mobile - M 1.70 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,Northwood,1,N/A,130,N/A,1.70,30,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 2.00 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,Northwood,1,N/A,130,N/A,2.00,54.3,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 2.20 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,Northwood,1,N/A,130,N/A,2.20,57.1,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 2.40 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,Northwood,1,N/A,130,N/A,2.40,59.8,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 2.40 GHz, 512K Cache, 533 MHz FSB",Discontinued,Q1'02,Northwood,1,N/A,130,N/A,2.40,59.8,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium 4 2.50 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,Northwood,1,N/A,130,N/A,2.50,61,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium III - S 1.26 GHz, 512K Cache, 133 MHz FSB",Discontinued,Q4'01,Tualatin,1,N/A,130,N/A,1.26,30.4,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium III - S 800 MHz, 512K Cache, 133 MHz FSB",Discontinued,Q4'01,Tualatin,1,N/A,130,N/A,0.80,10.63,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium III - S 933 MHz, 512K Cache, 133 MHz FSB",Discontinued,Q4'01,Tualatin,1,N/A,130,N/A,0.933,11.61,0.5,L2 Cache,N/A,N/A,N/A,N/A
"Pentium III 1.00 GHz, 256K Cache, 100 MHz FSB",Discontinued,Q1'00,Coppermine,1,N/A,180,N/A,1.00,29,0.25,L2 Cache,N/A,N/A,N/A,N/A
"Pentium III 1.00 GHz, 256K Cache, 133 MHz FSB",Discontinued,Q1'00,Coppermine,1,N/A,180,N/A,1.00,29,0.25,L2 Cache,N/A,N/A,N/A,N/A
"Pentium III 600 MHz, 256K Cache, 100 MHz FSB",Discontinued,Q1'00,Coppermine,1,N/A,180,N/A,0.60,19.5,0.25,L2 Cache,N/A,N/A,N/A,N/A
"Pentium III 700 MHz, 256K Cache, 100 MHz FSB",Discontinued,Q1'00,Coppermine,1,N/A,180,N/A,0.70,18.3,0.25,L2 Cache,N/A,N/A,N/A,N/A
"Pentium III 733 MHz, 256K Cache, 133 MHz FSB",Discontinued,Q1'00,Coppermine,1,N/A,180,N/A,0.733,22.8,0.25,L2 Cache,N/A,N/A,N/A,N/A
"Pentium III 850 MHz, 256K Cache, 100 MHz FSB",Discontinued,Q1'00,Coppermine,1,N/A,180,N/A,0.85,22.5,0.25,L2 Cache,N/A,N/A,N/A,N/A
"Pentium III 866 MHx, 256K Cache, 133 MHz FSB",Discontinued,Q1'00,Coppermine,1,N/A,180,N/A,0.866,26.1,0.25,L2 Cache,N/A,N/A,N/A,N/A
