Product,Status,Release Date,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Integrated Graphics
Xeon W-1270,Launched,Q2'20,8,16,14,5,3.4,80,16,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1270E,Launched,Q2'20,8,16,14,4.8,3.4,80,16,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-1270P,Launched,Q2'20,8,16,14,5.1,3.8,125,16,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1270TE,Launched,Q2'20,8,16,14,4.4,2,35,16,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-1290,Launched,Q2'20,10,20,14,5.2,3.2,80,20,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1290E,Launched,Q2'20,10,20,14,4.8,3.5,95,20,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-1290P,Launched,Q2'20,10,20,14,5.3,3.7,125,20,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1290T,Launched,Q2'20,10,20,14,4.7,1.9,35,20,Intel Smart Cache,Intel UHD Graphics P630
Xeon W-1290TE,Launched,Q2'20,10,20,14,4.5,1.8,35,20,Intel Smart Cache,Intel UHD 630 Graphics
Xeon W-2223,Launched,Q4'19,4,8,14,3.9,3.6,120,8.25,N/A,N/A
Xeon W-2225,Launched,Q4'19,4,8,14,4.6,4.1,105,8.25,N/A,N/A
Xeon W-2235,Launched,Q4'19,6,12,14,4.6,3.8,130,8.25,N/A,N/A
Xeon W-2245,Launched,Q4'19,8,16,14,4.5,3.9,155,16.5,N/A,N/A
Xeon W-2255,Launched,Q4'19,10,20,14,4.5,3.7,165,19.25,N/A,N/A
Xeon W-2265,Launched,Q4'19,12,24,14,4.6,3.5,165,19.25,N/A,N/A
Xeon W-2275,Launched,Q4'19,14,28,14,4.6,3.3,165,19.25,N/A,N/A
Xeon W-2295,Launched,Q4'19,18,36,14,4.6,3,165,24.75,N/A,N/A
Xeon W-3223,Launched,Q2'19,8,16,14,4,3.5,160,16.5,N/A,N/A
Xeon W-3225,Launched,Q2'19,8,16,14,4.3,3.7,160,16.5,N/A,N/A
Xeon W-3235,Launched,Q2'19,12,24,14,4.4,3.3,180,19.25,N/A,N/A
Xeon W-3245,Launched,Q2'19,16,32,14,4.4,3.2,205,22,N/A,N/A
Xeon W-3245M,Launched,Q2'19,16,32,14,4.4,3.2,205,22,N/A,N/A
Xeon W-3265,Launched,Q2'19,24,48,14,4.4,2.7,205,33,N/A,N/A
Xeon W-3265M,Launched,Q2'19,24,48,14,4.4,2.7,205,33,N/A,N/A
Xeon W-3275,Launched,Q2'19,28,56,14,4.4,2.5,205,38.5,N/A,N/A
Xeon W-3275M,Launched,Q2'19,28,56,14,4.4,2.5,205,38.5,N/A,N/A
Xeon W-3175X,Launched,Q4'18,28,56,14,3.8,3.1,255,38.5,N/A,N/A
Xeon W-2123,Discontinued,Q3'17,4,8,14,3.9,3.6,120,8.25,N/A,N/A
Xeon W-2125,Discontinued,Q3'17,4,8,14,4.5,4,120,8.25,N/A,N/A
Xeon W-2133,Discontinued,Q3'17,6,12,14,3.9,3.6,140,8.25,N/A,N/A
Xeon W-2135,Discontinued,Q3'17,6,12,14,4.5,3.7,140,8.25,N/A,N/A
Xeon W-2145,Discontinued,Q3'17,8,16,14,4.5,3.7,140,11,N/A,N/A
Xeon W-2155,Discontinued,Q3'17,10,20,14,4.5,3.3,140,13.75,N/A,N/A
Xeon W-2175,Discontinued,Q3'17,14,28,14,4.3,2.5,140,19,N/A,N/A
Xeon W-2195,Discontinued,Q3'17,18,36,14,4.3,2.3,140,24.75,N/A,N/A
Xeon D-2745NX,Launched,Q3'22,10,20,10,3.5,2.4,96,17.5,N/A,N/A
Xeon D-2757NX,Launched,Q3'22,12,24,10,3.5,2.5,107,20,N/A,N/A
Xeon D-2777NX,Launched,Q3'22,16,32,10,3.3,2.2,116,25,N/A,N/A
Xeon D-2798NX,Launched,Q3'22,20,40,10,3.1,2.1,126,30,N/A,N/A
Xeon D-1702,Launched,Q1'22,2,4,10,1.7,1.6,25,5,N/A,N/A
Xeon D-1712TR,Launched,Q1'22,4,8,10,3.1,2,40,10,N/A,N/A
Xeon D-1713NT,Launched,Q1'22,4,8,10,3.5,2.2,45,10,N/A,N/A
Xeon D-1713NTE,Launched,Q1'22,4,8,10,3.3,2.2,45,10,N/A,N/A
Xeon D-1714,Launched,Q1'22,4,8,10,3.4,2.3,38,10,N/A,N/A
Xeon D-1715TER,Launched,Q1'22,4,8,10,3.5,2.4,50,10,N/A,N/A
Xeon D-1718T,Launched,Q1'22,4,8,10,3.5,2.6,46,10,N/A,N/A
Xeon D-1722NE,Launched,Q1'22,6,12,10,2.7,1.7,36,10,N/A,N/A
Xeon D-1726,Launched,Q1'22,6,12,10,3.5,2.9,70,10,N/A,N/A
Xeon D-1732TE,Launched,Q1'22,8,16,10,3,1.9,52,15,N/A,N/A
Xeon D-1733NT,Launched,Q1'22,8,16,10,3.1,2,53,15,N/A,N/A
Xeon D-1734NT,Launched,Q1'22,8,16,10,3.1,2,50,15,N/A,N/A
Xeon D-1735TR,Launched,Q1'22,8,16,10,3.4,2.2,59,15,N/A,N/A
Xeon D-1736,Launched,Q1'22,8,16,10,3.4,2.3,55,15,N/A,N/A
Xeon D-1736NT,Launched,Q1'22,8,16,10,3.5,2.7,67,15,N/A,N/A
Xeon D-1739,Launched,Q1'22,8,16,10,3.5,3,83,15,N/A,N/A
Xeon D-1746TER,Launched,Q1'22,10,20,10,3.1,2,67,15,N/A,N/A
Xeon D-1747NTE,Launched,Q1'22,10,20,10,3.5,2.5,80,15,N/A,N/A
Xeon D-1748TE,Launched,Q1'22,10,20,10,3.4,2.3,65,15,N/A,N/A
Xeon D-1749NT,Launched,Q1'22,10,20,10,3.5,3,90,15,N/A,N/A
Xeon D-2712T,Launched,Q1'22,4,8,10,3,1.9,65,15,N/A,N/A
Xeon D-2733NT,Launched,Q1'22,8,16,10,3.2,2.1,80,15,N/A,N/A
Xeon D-2738,Launched,Q1'22,8,16,10,3.5,2.5,88,15,N/A,N/A
Xeon D-2752NTE,Launched,Q1'22,12,24,10,3,1.9,84,20,N/A,N/A
Xeon D-2752TER,Launched,Q1'22,12,24,10,2.8,1.8,77,20,N/A,N/A
Xeon D-2753NT,Launched,Q1'22,12,24,10,3.1,2,87,20,N/A,N/A
Xeon D-2766NT,Launched,Q1'22,14,28,10,3.1,2,97,20,N/A,N/A
Xeon D-2775TE,Launched,Q1'22,16,32,10,3.1,2,100,25,N/A,N/A
Xeon D-2776NT,Launched,Q1'22,16,32,10,3.2,2.1,117,25,N/A,N/A
Xeon D-2779,Launched,Q1'22,16,32,10,3.4,2.5,126,25,N/A,N/A
Xeon D-2786NTE,Launched,Q1'22,18,36,10,3.1,2.1,118,27.5,N/A,N/A
Xeon D-2795NT,Launched,Q1'22,20,40,10,3.1,2,110,30,N/A,N/A
Xeon D-2796NT,Launched,Q1'22,20,40,10,3.1,2,120,30,N/A,N/A
Xeon D-2796TE,Launched,Q1'22,20,40,10,3.1,2,118,30,N/A,N/A
Xeon D-2798NT,Launched,Q1'22,20,40,10,3.1,2.1,125,30,N/A,N/A
Xeon D-2799,Launched,Q1'22,20,40,10,3.4,2.4,129,30,N/A,N/A
Xeon D-1602,Launched,Q2'19,2,4,14,3.2,2.5,27,3,N/A,N/A
Xeon D-1622,Launched,Q2'19,4,8,14,3.2,2.6,40,6,N/A,N/A
Xeon D-1623N,Launched,Q2'19,4,8,14,3.2,2.4,35,6,N/A,N/A
Xeon D-1627,Launched,Q2'19,4,8,14,3.2,2.9,45,6,N/A,N/A
Xeon D-1633N,Launched,Q2'19,6,12,14,3.2,2.5,45,9,N/A,N/A
Xeon D-1637,Launched,Q2'19,6,12,14,3.2,2.9,55,9,N/A,N/A
Xeon D-1649N,Launched,Q2'19,8,16,14,3,2.3,45,12,N/A,N/A
Xeon D-1653N,Launched,Q2'19,8,16,14,3.2,2.8,65,12,N/A,N/A
Xeon D-2123IT,Launched,Q1'18,4,8,14,3,2.2,60,8,N/A,N/A
Xeon D-2141I,Launched,Q1'18,8,16,14,3,2.2,65,11,N/A,N/A
Xeon D-2142IT,Launched,Q1'18,8,16,14,3,1.9,65,11,N/A,N/A
Xeon D-2143IT,Launched,Q1'18,8,16,14,3,2.2,65,11,N/A,N/A
Xeon D-2145NT,Launched,Q1'18,8,16,14,3,1.9,65,11,N/A,N/A
Xeon D-2146NT,Launched,Q1'18,8,16,14,3,2.3,80,11,N/A,N/A
Xeon D-2161I,Launched,Q1'18,12,24,14,3,2.2,80,16.5,L2 Cache,N/A
Xeon D-2163IT,Launched,Q1'18,12,24,14,3,2.1,75,17,N/A,N/A
Xeon D-2166NT,Launched,Q1'18,12,24,14,3,2,85,17,N/A,N/A
Xeon D-2173IT,Launched,Q1'18,14,28,14,3,1.7,70,19,N/A,N/A
Xeon D-2177NT,Launched,Q1'18,14,28,14,3,1.9,105,19,N/A,N/A
Xeon D-2183IT,Launched,Q1'18,16,32,14,3,2,100,22,N/A,N/A
Xeon D-2187NT,Launched,Q1'18,16,32,14,3,2,110,22,N/A,N/A
Xeon D-1513N,Launched,Q3'17,4,8,14,2.2,1.6,35,6,N/A,N/A
Xeon D-1523N,Launched,Q3'17,4,8,14,2.6,2,45,6,N/A,N/A
Xeon D-1533N,Launched,Q3'17,6,12,14,2.7,2.1,45,9,N/A,N/A
Xeon D-1543N,Launched,Q3'17,8,16,14,2.5,1.9,45,12,N/A,N/A
Xeon D-1553N,Launched,Q3'17,8,16,14,2.7,2.3,65,12,N/A,N/A
Xeon D-1529,Launched,Q2'16,4,8,14,1.3,1.3,20,6,N/A,N/A
Xeon D-1539,Launched,Q2'16,8,16,14,2,1.6,35,12,N/A,N/A
Xeon D-1559,Launched,Q2'16,12,24,14,2.1,1.5,45,18,N/A,N/A
Xeon D-1557,Launched,Q1'16,12,24,14,2.1,1.5,45,18,N/A,N/A
Xeon D-1567,Launched,Q1'16,12,24,14,2.7,2.1,65,18,N/A,N/A
Xeon D-1571,Launched,Q1'16,16,32,14,2.1,1.3,45,24,N/A,N/A
Xeon D-1577,Launched,Q1'16,16,32,14,2.1,1.3,45,24,N/A,N/A
Xeon D-1518,Launched,Q4'15,4,8,14,2.2,2.2,35,6,N/A,N/A
Xeon D-1521,Launched,Q4'15,4,8,14,2.7,2.4,45,6,N/A,N/A
Xeon D-1527,Launched,Q4'15,4,8,14,2.7,2.2,35,6,N/A,N/A
Xeon D-1528,Launched,Q4'15,6,12,14,2.5,1.9,35,9,N/A,N/A
Xeon D-1531,Launched,Q4'15,6,12,14,2.7,2.2,45,9,N/A,N/A
Xeon D-1537,Launched,Q4'15,8,16,14,2.3,1.7,35,12,N/A,N/A
Xeon D-1541,Launched,Q4'15,8,16,14,2.7,2.1,45,12,N/A,N/A
Xeon D-1548,Launched,Q4'15,8,16,14,2.6,2,45,12,N/A,N/A
Xeon D-1520,Launched,Q1'15,4,8,14,2.6,2.2,45,6,N/A,N/A
Xeon D-1540,Launched,Q1'15,8,16,14,2.6,2,45,12,N/A,N/A
Xeon E7-8894 v4,Launched,Q1'17,24,48,14,3.4,2.4,165,60,N/A,N/A
Xeon E7-4809 v4,Launched,Q2'16,8,16,14,N/A,2.1,115,20,N/A,N/A
Xeon E7-4820 v4,Launched,Q2'16,10,20,14,N/A,2,115,25,N/A,N/A
Xeon E7-4830 v4,Launched,Q2'16,14,28,14,2.8,2,115,35,N/A,N/A
