Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Atom E660,Discontinued,Q3'10,Tunnel Creek,1,2,45,N/A,1.30,3.6,0.5,L2 Cache,2,DDR2,800,Name Unknown
Atom E660T,Discontinued,Q3'10,Tunnel Creek,1,2,45,N/A,1.30,3.6,0.5,L2 Cache,2,DDR2,800,Name Unknown
Atom E680,Discontinued,Q3'10,Tunnel Creek,1,2,45,N/A,1.60,4.5,0.5,L2 Cache,2,DDR2,800,Name Unknown
Atom E680T,Discontinued,Q3'10,Tunnel Creek,1,2,45,N/A,1.60,4.5,0.5,L2 Cache,2,DDR2,800,Name Unknown
Atom N550,Discontinued,Q3'10,Pineview,2,4,45,N/A,1.50,8.5,1,L2 Cache,2,DDR3,N/A,Name Unknown
Atom D425,Discontinued,Q2'10,Pineview,1,2,45,N/A,1.80,10,0.5,L2 Cache,4,"DDR3 800 (SODIMM only); DDR2 667/800",N/A,N/A
Atom D525,Discontinued,Q2'10,Pineview,2,4,45,N/A,1.80,13,1,L2 Cache,4,"DDR3 800 (SODIMM only); DDR2 667/800",N/A,N/A
Atom N455,Discontinued,Q2'10,Pineview,1,2,45,N/A,1.66,6.5,0.5,L2 Cache,2,DDR2/3,N/A,Name Unknown
Atom N475,Discontinued,Q2'10,Pineview,1,2,45,N/A,1.83,6.5,0.5,L2 Cache,2,DDR2/3,N/A,Name Unknown
Atom Z560,Discontinued,Q2'10,Silverthorne,1,N/A,45,N/A,2.13,2.5,0.5,L2 Cache,N/A,N/A,N/A,N/A
Atom D410,Discontinued,Q1'10,Pineview,1,2,45,N/A,1.66,10,0.5,L2 Cache,4,DDR2 667/800,N/A,N/A
Atom D510,Discontinued,Q1'10,Pineview,2,4,45,N/A,1.66,13,1,L2 Cache,4,DDR2 667/800,N/A,N/A
Atom N450,Discontinued,Q1'10,Pineview,1,2,45,N/A,1.66,5.5,0.5,L2 Cache,2,DDR2,667,N/A
Atom N470,Discontinued,Q1'10,Pineview,1,2,45,N/A,1.83,6.5,0.5,L2 Cache,2,DDR2,667,Name Unknown
Atom Z515,Discontinued,Q2'09,Silverthorne,1,N/A,45,N/A,1.20,1.4,0.5,L2 Cache,N/A,N/A,N/A,Name Unknown
Atom Z550,Discontinued,Q2'09,Silverthorne,1,N/A,45,N/A,2.00,2.4,0.5,L2 Cache,N/A,N/A,N/A,N/A
Atom Z510P,Discontinued,Q2'08,Silverthorne,1,N/A,45,N/A,1.10,2.2,0.5,L2 Cache,N/A,N/A,N/A,N/A
Atom Z510PT,Discontinued,Q2'08,Silverthorne,1,N/A,45,N/A,1.10,2.2,0.5,L2 Cache,N/A,N/A,N/A,N/A
Atom Z520PT,Discontinued,Q2'08,Silverthorne,1,N/A,45,N/A,1.33,2.2,0.5,L2 Cache,N/A,N/A,N/A,N/A
Atom Z530P,Discontinued,Q2'08,Silverthorne,1,N/A,45,N/A,1.60,2.2,0.5,L2 Cache,N/A,N/A,N/A,N/A
Atom N280,Discontinued,Q1'09,Diamondville,1,N/A,45,N/A,1.66,2.5,0.5,L2 Cache,N/A,N/A,N/A,N/A
Atom 330,Discontinued,Q3'08,Diamondville,2,N/A,45,N/A,1.60,8,1,L2 Cache,N/A,N/A,N/A,N/A
Atom 230,Discontinued,Q2'08,Diamondville,1,N/A,45,N/A,1.60,4,0.5,L2 Cache,N/A,N/A,N/A,N/A
Atom N270,Discontinued,Q2'08,Diamondville,1,N/A,45,N/A,1.60,2.5,0.5,L2 Cache,N/A,N/A,N/A,N/A
Atom Z500,Discontinued,Q2'08,Silverthorne,1,N/A,45,N/A,0.80,0.65,0.5,L2 Cache,N/A,N/A,N/A,N/A
