Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Core i3-4370T,Discontinued,Q1'15,2,N/A,3.30,4,N/A,Intel HD 4600 Graphics
Core i3-4100E,Launched,Q3'13,2,N/A,2.40,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4100M,Launched,Q4'13,2,N/A,2.50,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4100U,Launched,Q3'13,2,N/A,1.80,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4102E,Launched,Q3'13,2,N/A,1.60,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4110E,Launched,Q2'14,2,N/A,2.60,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4110M,Launched,Q2'14,2,N/A,2.60,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4112E,Launched,Q2'14,2,N/A,1.80,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4120U,Launched,Q2'14,2,N/A,2.00,3,N/A,Intel HD 4400 Graphics
Core i3-4158U,Launched,Q3'13,2,N/A,2.00,3,Intel Smart Cache,Intel Iris 5100 Graphics
Core i3-4170T,Discontinued,Q1'15,2,N/A,3.20,3,N/A,Intel HD 4400 Graphics
Core i3-4170,Discontinued,Q1'15,2,N/A,3.70,3,N/A,Intel HD 4400 Graphics
Core i3-4160T,Discontinued,Q3'14,2,N/A,3.10,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4160,Discontinued,Q3'14,2,N/A,3.60,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4150T,Discontinued,Q2'14,2,N/A,3.00,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4150,Discontinued,Q2'14,2,N/A,3.50,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4130T,Discontinued,Q3'13,2,N/A,2.90,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4130,Discontinued,Q3'13,2,N/A,3.40,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4000M,Launched,Q4'13,2,N/A,2.40,3,Intel Smart Cache,Intel HD 4600 Graphics
Core i3-4005M,Launched,Q3'13,2,N/A,1.70,3,Intel Smart Cache,Intel HD 4400 Graphics
Core i3-4010U,Launched,Q3'13,2,N/A,1.70,3,Intel Smart Cache,Intel HD 4400 Graphics
