Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Xeon D-1733NT,Launched,Q1'22,Ice Lake,8,16,10,3.10,2.00,53,15,N/A,256,DDR4,2400,N/A
Xeon D-1734NT,Launched,Q1'22,Ice Lake,8,16,10,3.10,2.00,50,15,N/A,256,DDR4,2667,N/A
Xeon D-1735TR,Launched,Q1'22,Ice Lake,8,16,10,3.40,2.20,59,15,N/A,384,DDR4,2933,N/A
Xeon D-1736,Launched,Q1'22,Ice Lake,8,16,10,3.40,2.30,55,15,N/A,256,DDR4,2933,N/A
Xeon D-1736NT,Launched,Q1'22,Ice Lake,8,16,10,3.50,2.70,67,15,N/A,256,DDR4,2667,N/A
Xeon D-1739,Launched,Q1'22,Ice Lake,8,16,10,3.50,3.00,83,15,N/A,384,DDR4,2933,N/A
Xeon D-1746TER,Launched,Q1'22,Ice Lake,10,20,10,3.10,2.00,67,15,N/A,384,DDR4,2667,N/A
Xeon D-1747NTE,Launched,Q1'22,Ice Lake,10,20,10,3.50,2.50,80,15,N/A,384,DDR4,2933,N/A
Xeon D-1748TE,Launched,Q1'22,Ice Lake,10,20,10,3.40,2.30,65,15,N/A,256,DDR4,2400,N/A
Xeon D-1749NT,Launched,Q1'22,Ice Lake,10,20,10,3.50,3.00,90,15,N/A,256,DDR4,2667,N/A
Xeon D-2712T,Launched,Q1'22,Ice Lake,4,8,10,3.00,1.90,65,15,N/A,1024,DDR4,2667,N/A
Xeon D-2733NT,Launched,Q1'22,Ice Lake,8,16,10,3.20,2.10,80,15,N/A,1024,DDR4,2667,N/A
Xeon D-2738,Launched,Q1'22,Ice Lake,8,16,10,3.50,2.50,88,15,N/A,1024,DDR4,2933,N/A
Xeon D-2739NT,Launched,Q1'22,Ice Lake,8,16,10,3.50,2.50,97,15,N/A,1024,DDR4,2933,N/A
Xeon D-2752NTE,Launched,Q1'22,Ice Lake,12,24,10,3.00,1.90,84,20,N/A,1024,DDR4,2667,N/A
Xeon D-2752TER,Launched,Q1'22,Ice Lake,12,24,10,2.80,1.80,77,20,N/A,1024,DDR4,2667,N/A
Xeon D-2753NT,Launched,Q1'22,Ice Lake,12,24,10,3.10,2.00,87,20,N/A,1024,DDR4,2667,N/A
Xeon D-2766NT,Launched,Q1'22,Ice Lake,14,28,10,3.10,2.00,97,20,N/A,1024,DDR4,2667,N/A
Xeon D-2775TE,Launched,Q1'22,Ice Lake,16,32,10,3.10,2.00,100,25,N/A,1024,DDR4,2933,N/A
Xeon D-2776NT,Launched,Q1'22,Ice Lake,16,32,10,3.20,2.10,117,25,N/A,1024,DDR4,2933,N/A
Xeon D-2779,Launched,Q1'22,Ice Lake,16,32,10,3.40,2.50,126,25,N/A,1024,DDR4,3200,N/A
Xeon D-2786NTE,Launched,Q1'22,Ice Lake,18,36,10,3.10,2.10,118,27.5,N/A,1024,DDR4,2933,N/A
Xeon D-2795NT,Launched,Q1'22,Ice Lake,20,40,10,3.10,2.00,110,30,N/A,1024,DDR4,2933,N/A
Xeon D-2796NT,Launched,Q1'22,Ice Lake,20,40,10,3.10,2.00,120,30,N/A,1024,DDR4,2933,N/A
Xeon D-2796TE,Launched,Q1'22,Ice Lake,20,40,10,3.10,2.00,118,30,N/A,1024,DDR4,2933,N/A
Xeon D-2798NT,Launched,Q1'22,Ice Lake,20,40,10,3.10,2.10,125,30,N/A,1024,DDR4,3200,N/A
Xeon D-2799,Launched,Q1'22,Ice Lake,20,40,10,3.40,2.40,129,30,N/A,1024,DDR4,3200,N/A
Xeon D-1731NTE,Launched,Q1'22,Ice Lake,8,16,10,2.80,1.70,45,15,N/A,256,DDR4,2400,N/A
