Product,Status,Release Date,Code Name,Vertical Segment,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Max Memory Channels,Integrated Graphics,Sockets Supported,Max Operating Temp.(°C)
Core Ultra 5 245T,Launched,Q1'25,Arrow Lake,Desktop,14,14,3,5.10,2.20,114,24,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCLGA1851,105
Core Ultra 7 255H,Launched,Q1'25,Arrow Lake,Mobile,16,16,3,5.10,2.00,115,24,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,2,Intel Arc 140T,FCBGA2049,110
Core Ultra 7 255HX,Launched,Q1'25,Arrow Lake,Mobile,20,20,3,5.20,2.40,160,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCBGA2114,105
Core Ultra 7 255U,Launched,Q1'25,Arrow Lake,Mobile,12,14,3,5.20,2.00,57,12,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,2,Intel Graphics,FCBGA2049,110
Core Ultra 7 265,Launched,Q1'25,Arrow Lake,Desktop,20,20,3,5.30,2.40,182,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCLGA1851,105
Core Ultra 7 265F,Launched,Q1'25,Arrow Lake,Desktop,20,20,3,5.30,2.40,182,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,N/A,FCLGA1851,105
Core Ultra 7 265H,Launched,Q1'25,Arrow Lake,Mobile,16,16,3,5.30,2.20,115,24,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,2,Intel Arc 140T,FCBGA2049,110
Core Ultra 7 265HX,Launched,Q1'25,Arrow Lake,Mobile,20,20,3,5.30,2.60,160,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCBGA2114,105
Core Ultra 7 265T,Launched,Q1'25,Arrow Lake,Desktop,20,20,3,5.30,1.50,112,30,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCLGA1851,105
Core Ultra 7 265U,Launched,Q1'25,Arrow Lake,Mobile,12,14,3,5.30,2.10,57,12,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,2,Intel Graphics,FCBGA2049,110
Core Ultra 9 275HX,Launched,Q1'25,Arrow Lake,Mobile,24,24,3,5.40,2.70,160,36,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCBGA2114,105
Core Ultra 9 285,Launched,Q1'25,Arrow Lake,Desktop,24,24,3,5.60,2.50,182,36,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCLGA1851,105
Core Ultra 9 285H,Launched,Q1'25,Arrow Lake,Mobile,16,16,3,5.40,2.90,115,24,Intel Smart Cache,128,"Up to LPDDR5/x 8400 MT/s, Up to DDR5 6400 MT/s",N/A,2,Intel Arc 140T,FCBGA2049,110
Core Ultra 9 285HX,Launched,Q1'25,Arrow Lake,Mobile,24,24,3,5.50,2.80,160,36,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCBGA2114,105
Core Ultra 9 285T,Launched,Q1'25,Arrow Lake,Desktop,24,24,3,5.40,1.40,112,36,Intel Smart Cache,256,Up to DDR5 6400 MT/s,N/A,2,Intel Graphics,FCLGA1851,105
