Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Pentium N3530,Launched,Q1'14,4,N/A,2.16,2,N/A,Intel HD Graphics for Intel Atom Z3700 Processor Series
Pentium N3520,Launched,Q4'13,4,N/A,2.17,2,N/A,Intel HD Graphics for Intel Atom Z3700 Processor Series
Pentium N3510,Launched,Q3'13,4,N/A,2.00,2,N/A,Intel HD Graphics for Intel Atom Z3700 Processor Series
Pentium N3700,Discontinued,Q1'15,4,N/A,1.60,2,L2 Cache,Intel HD Graphics for Intel Celeron N3000 Processor Series
Pentium N3710,Launched,Q1'16,4,N/A,1.60,2,L2 Cache,N/A
Pentium 4405Y,Launched,Q3'15,2,N/A,1.50,2,Intel Smart Cache,Intel HD 515 Graphics
Pentium 4405U,Launched,Q3'15,2,N/A,2.10,2,Intel Smart Cache,Intel HD 510 Graphics
Pentium 3550M,Launched,Q4'13,2,N/A,2.30,2,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium 3556U,Launched,Q3'13,2,N/A,1.70,2,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium 3558U,Launched,Q4'13,2,N/A,1.70,2,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium 3560M,Launched,Q2'14,2,N/A,2.40,2,N/A,Intel HD Graphics for 4th Gen Intel Processors
Pentium 3560Y,Launched,Q3'13,2,N/A,1.20,2,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium 3561Y,Launched,Q4'13,2,N/A,1.20,2,Intel Smart Cache,Intel HD Graphics for 4th Gen Intel Processors
Pentium 3805U,Launched,Q1'15,2,N/A,1.90,2,N/A,Intel HD Graphics for 5th Gen Intel Processors
Pentium 3825U,Launched,Q1'15,2,N/A,1.90,2,N/A,Intel HD Graphics for 5th Gen Intel Processors
Pentium 2129Y,Launched,Q1'13,2,N/A,1.10,2,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium 2127U,Launched,Q3'13,2,N/A,1.90,2,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium 2117U,Launched,Q3'12,2,N/A,1.80,2,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium 2030M,Launched,Q1'13,2,N/A,2.50,2,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium 2020M,Launched,Q3'12,2,N/A,2.40,2,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Processors
Pentium 1405 v2,Launched,Q1'14,2,N/A,1.40,6,Intel Smart Cache,N/A
Pentium 1405,Discontinued,Q2'12,2,1.80,1.20,5,Intel Smart Cache,N/A
Pentium A1020,Launched,Q1'16,4,N/A,2.41,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Pentium A1018,Discontinued,Q3'13,2,N/A,2.10,1,Intel Smart Cache,Intel HD Graphics for 3rd Gen Intel Procressors
Pentium B980,Launched,Q2'12,2,N/A,2.40,2,N/A,Intel HD Graphics for 2nd Gen Intel Processors
Pentium B970,Launched,Q1'12,2,N/A,2.30,2,L3 Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium B960,Launched,Q4'11,2,N/A,2.20,2,L3 Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium B950,Discontinued,Q2'11,2,N/A,2.10,2,L3 Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium B940,Launched,Q2'11,2,N/A,2.00,2,L3 Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium B925C,Launched,Q4'13,2,N/A,2.00,4,L3 Cache,N/A
Pentium B915C,Launched,Q2'12,2,N/A,1.50,3,L3 Cache,N/A
Pentium E6800,Discontinued,Q3'10,2,N/A,3.33,2,Intel Smart Cache,N/A
Pentium E6700,Discontinued,Q2'10,2,N/A,3.20,2,Intel Smart Cache,N/A
Pentium E6600,Discontinued,Q1'10,2,N/A,3.06,2,Intel Smart Cache,N/A
Pentium E6500K,Discontinued,Q3'09,2,N/A,2.93,2,N/A,N/A
Pentium E6500,Discontinued,Q1'08,2,N/A,2.93,2,L2 Cache,N/A
Pentium E6300,Discontinued,Q2'09,2,N/A,2.80,2,L2 Cache,N/A
Pentium E5800,Discontinued,Q4'10,2,N/A,3.20,2,N/A,N/A
Pentium E5700,Discontinued,Q3'10,2,N/A,3.00,2,Intel Smart Cache,N/A
Pentium E5500,Discontinued,Q2'10,2,N/A,2.80,2,Intel Smart Cache,N/A
Pentium E5400,Discontinued,Q1'09,2,N/A,2.70,2,L2 Cache,N/A
Pentium E5300,Discontinued,Q1'08,2,N/A,2.60,2,L2 Cache,N/A
Pentium E5200,Discontinued,Q3'08,2,N/A,2.50,2,L2 Cache,N/A
Pentium E2220,Discontinued,Q1'08,2,N/A,2.40,1,L2 Cache,N/A
Pentium E2200,Discontinued,Q4'07,2,N/A,2.20,1,L2 Cache,N/A
Pentium E2180,Discontinued,Q3'07,2,N/A,2.00,1,L2 Cache,N/A
Pentium E2160,Discontinued,Q3'06,2,N/A,1.80,1,L2 Cache,N/A
Pentium E2140,Discontinued,Q2'07,2,N/A,1.60,1,L2 Cache,N/A
Pentium G6960,Discontinued,Q1'11,2,N/A,2.93,3,Intel Smart Cache,N/A
Pentium G6951,Discontinued,Q3'11,2,N/A,2.80,3,Intel Smart Cache,N/A
Pentium G6950,Discontinued,Q1'10,2,N/A,2.80,3,Intel Smart Cache,N/A
Pentium G860T,Discontinued,Q2'12,2,N/A,2.60,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G870,Discontinued,Q2'12,2,N/A,3.10,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G860,Discontinued,Q3'11,2,N/A,3.00,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G850,Discontinued,Q2'11,2,N/A,2.90,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G840,Discontinued,Q2'11,2,N/A,2.80,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G645,Discontinued,Q3'12,2,N/A,2.90,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G640T,Discontinued,Q2'12,2,N/A,2.40,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G640,Discontinued,Q2'12,2,N/A,2.80,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G632,Discontinued,Q3'11,2,N/A,2.70,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G630T,Discontinued,Q3'11,2,N/A,2.30,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G630,Discontinued,Q3'11,2,N/A,2.70,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G622,Discontinued,Q2'11,2,N/A,2.60,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G620T,Discontinued,Q2'11,2,N/A,2.20,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G620,Discontinued,Q2'11,2,N/A,2.60,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium G645T,Discontinued,Q3'12,2,N/A,2.50,3,Intel Smart Cache,Intel HD Graphics for 2nd Gen Intel Processors
Pentium P6300,Discontinued,Q1'11,2,N/A,2.27,3,Intel Smart Cache,Intel HD Graphics for Previous Gen Intel Processors
Pentium P6200,Discontinued,Q3'10,2,N/A,2.13,3,Intel Smart Cache,Intel HD Graphics for Previous Gen Intel Processors
Pentium P6100,Discontinued,Q3'10,2,N/A,2.00,3,Intel Smart Cache,Intel HD Graphics for Previous Gen Intel Processors
Pentium P6000,Discontinued,Q2'10,2,N/A,1.86,3,Intel Smart Cache,Intel HD Graphics for Previous Gen Intel Processors
Pentium T4500,Discontinued,Q1'10,2,N/A,2.30,1,N/A,N/A
Pentium T4400,Discontinued,Q4'09,2,N/A,2.20,1,L2 Cache,N/A
Pentium T4300,Discontinued,N/A,2,N/A,2.10,1,L2 Cache,N/A
Pentium T4200,Discontinued,Q1'09,2,N/A,2.00,1,L2 Cache,N/A
Pentium T3400,Discontinued,Q4'08,2,N/A,2.16,1,L2 Cache,N/A
Pentium T3200,Discontinued,N/A,2,N/A,2.00,1,L2 Cache,N/A
Pentium T2390,Discontinued,N/A,2,N/A,1.86,1,L2 Cache,N/A
Pentium T2370,Discontinued,Q1'08,2,N/A,1.73,1,L2 Cache,N/A
Pentium T2330,Discontinued,Q4'07,2,N/A,1.60,1,L2 Cache,N/A
Pentium T2310,Discontinued,Q4'07,2,N/A,1.46,1,L2 Cache,N/A
Pentium T2130,Discontinued,Q2'07,2,N/A,1.86,1,L2 Cache,N/A
