Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Pentium G4620,Discontinued,Q1'17,2,N/A,3.70,3,N/A,Intel HD 630 Graphics
Pentium G4560T,Discontinued,Q1'17,2,N/A,2.90,3,N/A,Intel HD 610 Graphics
Pentium G4600T,Discontinued,Q1'17,2,N/A,3.00,3,N/A,Intel HD 630 Graphics
Pentium J6426,Launched,Q1'21,4,N/A,2.00,1.5,L2 Cache,Intel UHD Graphics for 10the Generation Intel Core Processors
Pentium J2850,Discontinued,Q3'13,4,N/A,2.41,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Pentium J2900,Discontinued,Q4'13,4,N/A,2.41,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Pentium J3710,Launched,Q1'16,4,N/A,1.60,2,L2 Cache,Yes (Name Unknown)
Pentium J4205,Launched,Q3'16,4,N/A,1.50,2,N/A,Intel HD 505 Graphics
Pentium N4200E,Launched,Q3'19,4,2.50,1.10,2,N/A,Intel HD 505 Graphics
Pentium N6415,Launched,Q1'21,4,N/A,1.20,1.5,L2 Cache,Intel UHD Graphics for 10th Generation Intel Core Processors
Pentium N3510,Discontinued,Q3'13,4,N/A,2.00,2,N/A,Intel HD Graphics for Intel Atom Z3700 Processor Series
Pentium N3520,Discontinued,Q4'13,4,N/A,2.17,2,N/A,Intel HD Graphics for Intel Atom Z3700 Processor Series
Pentium N3530,Discontinued,Q1'14,4,N/A,2.16,2,N/A,Intel HD Graphics for Intel Atom Z3700 Processor Series
Pentium N3540,Discontinued,Q3'14,4,N/A,2.16,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
Pentium N3700,Discontinued,Q1'15,4,N/A,1.60,2,L2 Cache,Intel HD Graphics for Intel Celeron N3000 Processor Series
Pentium N3710,Launched,Q1'16,4,N/A,1.60,2,L2 Cache,Yes (Name Unknown)
Pentium N4200,Launched,Q3'16,4,N/A,1.10,2,L2 Cache,Intel HD 505 Graphics
Pentium 6805,Launched,Q4'20,2,3.00,1.10,4,N/A,Intel UHD Graphics for 10th Generation Intel Core Processors
Pentium 4405U,Discontinued,Q3'15,2,N/A,2.10,2,Intel Smart Cache,Intel HD 510 Graphics
Pentium 4405Y,Discontinued,Q3'15,2,N/A,1.50,2,Intel Smart Cache,Intel HD 515 Graphics
Pentium 3556U,Discontinued,Q3'13,2,N/A,1.70,2,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium 3560Y,Discontinued,Q3'13,2,N/A,1.20,2,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium 3550M,Discontinued,Q4'13,2,N/A,2.30,2,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium 3558U,Discontinued,Q4'13,2,N/A,1.70,2,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium 3561Y,Discontinued,Q4'13,2,N/A,1.20,2,Intel Smart Cache,Intel HD Graphics for 4th Generation Intel Processors
Pentium 3560M,Discontinued,Q2'14,2,N/A,2.40,2,N/A,Intel HD Graphics for 4th Generation Intel Processors
Pentium 3805U,Discontinued,Q1'15,2,N/A,1.90,2,N/A,Intel HD Graphics for 5th Generation Intel Processors
Pentium 3825U,Discontinued,Q1'15,2,N/A,1.90,2,N/A,Intel HD Graphics for 5th Generation Intel Processors
Pentium 2020M,Discontinued,Q3'12,2,N/A,2.40,2,Intel Smart Cache,Intel HD Graphics for 3rd Generation Intel Processors
Pentium 2117U,Discontinued,Q3'12,2,N/A,1.80,2,Intel Smart Cache,Intel HD Graphics for 3rd Generation Intel Processors
Pentium 2129Y,Discontinued,Q1'13,2,N/A,1.10,2,Intel Smart Cache,Intel HD Graphics for 3rd Generation Intel Processors
Pentium 2030M,Discontinued,Q1'13,2,N/A,2.50,2,Intel Smart Cache,Intel HD Graphics for 3rd Generation Intel Processors
Pentium 2127U,Discontinued,Q3'13,2,N/A,1.90,2,Intel Smart Cache,Intel HD Graphics for 3rf Generation Intel Processors
Pentium 1405,Discontinued,Q2'12,2,1.80,1.20,5,Intel Smart Cache,N/A
Pentium 1405 v2,Launched,Q1'14,2,N/A,1.40,6,Intel Smart Cache,N/A
Pentium A1018,Discontinued,Q3'13,2,N/A,2.10,1,Intel Smart Cache,Intel HD Graphics for 3rd Generation Intel Processors
Pentium A1020,Discontinued,Q1'16,4,N/A,2.41,2,L2 Cache,Intel HD Graphics for Intel Atom Z3700 Processor Series
"Mobile Pentium 4 - M 1.40 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.40,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 1.50 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.50,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 1.60 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.60,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 1.70 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,1,N/A,1.70,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 1.80 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.80,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 1.90 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.90,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 2.00 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.00,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 2.20 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,1,N/A,2.20,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 2.30 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.30,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 2.40 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.40,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 2.50 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.50,0.5,L2 Cache,N/A
"Mobile Pentium 4 - M 2.60 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.60,0.5,L2 Cache,N/A
Mobile Pentium 4 518 Supporting HT Technology,Discontinued,N/A,1,N/A,2.80,1,L2 Cache,N/A
Mobile Pentium 4 532 Supporting HT Technology,Discontinued,N/A,1,N/A,3.06,1,L2 Cache,N/A
Mobile Pentium 4 538 Supporting HT Technology,Discontinued,N/A,1,N/A,3.20,1,L2 Cache,N/A
Mobile Pentium 4 548 Supporting HT Technology,Discontinued,N/A,1,N/A,3.33,1,L2 Cache,N/A
