Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Atom N550,Discontinued,Q3'10,2,N/A,1.50,1,L2 Cache,Yes (Name Unknown)
Atom E620,Discontinued,Q3'10,1,N/A,0.60,0.5,L2 Cache,Yes (Name Unknown)
Atom E620T,Discontinued,Q3'10,1,N/A,0.60,0.5,L2 Cache,Yes (Name Unknown)
Atom E640,Discontinued,Q3'10,1,N/A,1.00,0.5,L2 Cache,Yes (Name Unknown)
Atom E640T,Discontinued,Q3'10,1,N/A,1.00,0.5,L2 Cache,Yes (Name Unknown)
Atom E660,Discontinued,Q3'10,1,N/A,1.30,0.5,L2 Cache,Yes (Name Unknown)
Atom E660T,Discontinued,Q3'10,1,N/A,1.30,0.5,L2 Cache,Yes (Name Unknown)
Atom E680,Discontinued,Q3'10,1,N/A,1.60,0.5,L2 Cache,Yes (Name Unknown)
Atom E680T,Discontinued,Q3'10,1,N/A,1.60,0.5,L2 Cache,Yes (Name Unknown)
Atom E645C,Discontinued,Q4'10,1,N/A,1.00,0.5,L2 Cache,Yes (Name Unknown)
Atom E645CT,Discontinued,Q4'10,1,N/A,1.00,0.5,L2 Cache,Yes (Name Unknown)
Atom E665C,Discontinued,Q4'10,1,N/A,1.30,0.5,L2 Cache,Yes (Name Unknown)
Atom E665CT,Discontinued,Q4'10,1,N/A,1.30,0.5,L2 Cache,Yes (Name Unknown)
Atom N570,Discontinued,Q1'11,2,N/A,1.66,1,L2 Cache,Yes (Name Unknown)
Atom Z670,Discontinued,Q2'11,1,N/A,1.50,0.5,N/A,Yes (Name Unknown)
Atom Z650,Discontinued,Q2'11,1,N/A,1.20,0.5,L2 Cache,Yes (Name Unknown)
