Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Xeon E5240,Discontinued,Q1'08,2,N/A,3.00,6,L2 Cache,N/A
Xeon L5238,Discontinued,Q1'08,2,N/A,2.66,6,L2 Cache,N/A
Xeon E5220,Discontinued,Q1'08,2,N/A,2.33,6,L2 Cache,N/A
Xeon L5215,Discontinued,Q3'08,2,N/A,1.86,6,L2 Cache,N/A
Xeon E5205,Discontinued,Q4'07,2,N/A,1.86,6,L2 Cache,N/A
Xeon 5160,Discontinued,N/A,2,N/A,3.00,4,L2 Cache,N/A
Xeon 5150,Discontinued,N/A,2,N/A,2.66,4,L2 Cache,N/A
Xeon LV 5148,Launched,Q2'06,2,N/A,2.33,4,L2 Cache,N/A
Xeon 5140,Launched,Q2'06,2,N/A,2.33,4,L2 Cache,N/A
Xeon LV 5138,Launched,Q2'06,2,N/A,2.13,4,L2 Cache,N/A
Xeon LV 5133,Launched,N/A,2,N/A,2.20,4,L2 Cache,N/A
Xeon 5130,Launched,Q2'06,2,N/A,2.00,4,L2 Cache,N/A
Xeon LV 5128,Launched,Q2'06,2,N/a,1.86,4,L2 Cache,N/A
Xeon 5120,Discontinued,N/A,2,N/A,1.86,4,L2 Cache,N/A
Xeon LV 5113,Launched,N/A,2,N/A,1.60,4,L2 Cache,N/A
Xeon 5110,Discontinued,N/A,2,N/A,1.60,4,L2 Cache,N/A
Xeon 5080,Discontinued,N/A,2,N/A,3.73,4,L2 Cache,N/A
Xeon 5070,Discontinued,N/A,2,N/A,3.46,4,L2 Cache,N/A
Xeon 5063,Discontinued,N/A,2,N/A,3.20,4,L2 Cache,N/A
Xeon 5060,Discontinued,N/A,2,N/A,3.20,4,L2 Cache,N/A
Xeon 5050,Discontinued,N/A,2,N/A,3.00,4,L2 Cache,N/A
Xeon 5040,Discontinued,N/A,2,N/A,2.83,4,L2 Cache,N/A
Xeon 5030,Discontinued,N/A,2,N/A,2.66,4,L2 Cache,N/A
Xeon W3690,Discontinued,Q1'11,6,3.73,3.46,12,Intel Smart Cache,N/A
Xeon W3680,Discontinued,Q1'10,6,3.60,3.33,12,Intel Smart Cache,N/A
Xeon W3670,Discontinued,Q3'10,6,3.46,3.20,12,Intel Smart Cache,N/A
Xeon W3580,Discontinued,Q3'09,4,3.60,3.33,8,Intel Smart Cache,N/A
Xeon W3570,Discontinued,Q1'09,4,3.46,3.20,8,Intel Smart Cache,N/A
Xeon W3565,Discontinued,Q4'09,4,3.46,3.20,8,Intel Smart Cache,N/A
Xeon W3550,Discontinued,Q3'09,4,3.33,3.06,8,Intel Smart Cache,N/A
Xeon W3540,Discontinued,Q1'09,4,3.20,2.93,8,Intel Smart Cache,N/A
Xeon EC3539,Discontinued,Q1'10,4,N/A,2.13,8,L3 Cache,N/A
Xeon W3530,Discontinued,Q1'10,4,3.06,2.80,8,Intel Smart Cache,N/A
Xeon LC3528,Discontinued,Q1'10,2,1.87,1.73,4,L3 Cache,N/A
Xeon W3520,Discontinued,Q1'09,4,2.93,2.66,8,Intel Smart Cache,N/A
Xeon LC3518,Discontinued,Q1'10,1,N/A,1.73,2,L3 Cache,N/A
Xeon X3480,Discontinued,Q2'10,4,3.73,3.06,8,Intel Smart Cache,N/A
Xeon X3470,Discontinued,Q3'09,4,3.60,2.93,8,Intel Smart Cache,N/A
Xeon X3460,Discontinued,Q3'09,4,3.46,2.80,8,Intel Smart Cache,N/A
Xeon X3450,Discontinued,Q3'09,4,3.20,2.66,8,Intel Smart Cache,N/A
Xeon X3440,Discontinued,Q3'09,4,2.93,2.53,8,Intel Smart Cache,N/A
Xeon X3430,Discontinued,Q3'09,4,2.80,2.40,8,Intel Smart Cache,N/A
Xeon L3426,Discontinued,Q3'09,4,3.20,1.86,8,Intel Smart Cache,N/A
Xeon L3406,Discontinued,Q1'10,2,2.53,2.26,4,Intel Smart Cache,N/A
Xeon X3380,Discontinued,Q1'09,4,N/A,3.16,12,L2 Cache,N/A
Xeon X3370,Discontinued,Q3'08,4,N/A,3.00,12,L2 Cache,N/A
Xeon X3360,Discontinued,Q1'08,4,N/A,2.83,12,L2 Cache,N/A
Xeon L3360,Discontinued,Q1'09,4,N/A,2.83,12,L2 Cache,N/A
Xeon X3350,Discontinued,Q1'08,4,N/A,2.66,12,L2 Cache,N/A
Xeon X3330,Discontinued,Q3'08,4,N/A,2.66,6,L2 Cache,N/A
Xeon X3320,Discontinued,Q1'08,4,N/A,2.50,6,L2 Cache,N/A
Xeon X3230,Discontinued,Q3'07,4,N/A,2.66,8,L2 Cache,N/A
Xeon X3220,Discontinued,Q1'07,4,N/A,2.40,8,L2 Cache,N/A
Xeon X3210,Discontinued,Q1'07,4,N/A,2.13,8,L2 Cache,N/A
Xeon E3120,Discontinued,Q3'08,2,N/A,3.16,6,L2 Cache,N/A
Xeon L3110,Discontinued,Q1'09,2,N/A,3.00,6,L2 Cache,N/A
Xeon E3110,Discontinued,Q1'08,2,N/A,3.00,6,L2 Cache,N/A
Xeon 3070,Discontinued,N/A,2,N/A,2.66,4,L2 Cache,N/A
Xeon 3065,Discontinued,Q4'07,2,N/A,2.33,4,L2 Cache,N/A
Xeon 3060,Discontinued,N/A,2,N/A,2.40,4,L2 Cache,N/A
Xeon 3050,Discontinued,N/A,2,N/A,2.13,2,L2 Cache,N/A
Xeon 3040,Discontinued,N/A,2,N/A,1.86,2,L2 Cache,N/A
Xeon L3014,Launched,Q1'08,1,N/A,2.40,3,L2 Cache,N/A
"64-bit Xeon 3.80E GHz, 2M Cache, 800 MHz FSB",Launched,N/A,1,N/A,3.80,2,L2 Cache,N/A
"64-bit Xeon 3.80 GHz, 2M Cache, 800 MHz FSB",Launched,N/A,1,N/A,3.80,2,L2 Cache,N/A
"64-bit Xeon 3.66 GHz, 1M Cache, 667 MHz FSB",Discontinued,N/A,1,N/A,3.66,1,L2 Cache,N/A
"64-bit Xeon 3.60E GHz, 2M Cache, 800 MHz FSB",Launched,N/A,1,N/A,3.60,2,L2 Cache,N/A
"64-bit Xeon 3.60 GHz, 2M Cache, 800 MHz FSB",Launched,N/A,1,N/A,3.60,2,L2 Cache,N/A
"64-bit Xeon 3.60 GHz, 1M Cache, 800 MHz FSB",Discontinued,N/A,1,N/A,3.60,1,L2 Cache,N/A
"64-bit Xeon 3.50 GHz, 1M Cache, 667 MHz FSB",Discontinued,N/A,1,N/A,3.50,1,L2 Cache,N/A
"64-bit Xeon 3.40E GHz, 2M Cache, 800 MHz FSB",Launched,N/A,1,N/A,3.40,2,L2 Cache,N/A
"64-bit Xeon 3.40 GHz, 2M Cache, 800 MHz FSB",Discontinued,N/A,1,N/A,3.40,2,L2 Cache,N/A
"64-bit Xeon 3.40 Ghz, 1M Cache, 800 MHz FSB",Discontinued,N/A,1,N/A,3.40,1,L2 Cache,N/A
"64-bit Xeon 3.33 GHz, 8M Cache, 667 MHz FSB",Discontinued,N/A,1,N/A,3.33,8,L2 Cache,N/A
"64-bit Xeon 3.20E GHz, 2M Cache, 800 MHz FSB",Launched,N/A,1,N/A,3.20,2,L2 Cache,N/A
"64-bit Xeon 3.20 GHz, 2M Cache, 800 MHz FSB",Discontinued,N/A,1,N/A,3.20,2,L2 Cache,N/A
"64-bit Xeon 3.20 GHz, 1M Cache, 800 MHz FSB",Discontinued,Q2'04,1,N/A,3.20,1,L2 Cache,N/A
"64-bit Xeon 3.16 GHz, 1M Cache, 667 MHz FSB",Discontinued,N/A,1,N/A,3.16,1,L2 Cache,N/A
"64-bit Xeon 3.00E GHz, 2M Cache, 800 MHz FSB",Discontinued,N/A,1,N/A,3.00,2,L2 Cache,N/A
"64-bit Xeon 3.00D GHz, 1M Cache, 800 MHz FSB",Discontinued,N/A,1,N/A,3.00,1,L2 Cache,N/A
"64-bit Xeon 3.00 GHz, 8M Cache,667 MHz FSB",Discontinued,N/A,1,N/A,3.00,8,L2 Cache,N/A
"64-bit Xeon 3.00 GHz, 2M Cache, 800 MHz FSB",Launched,N/A,1,N/A,3.00,2,L2 Cache,N/A
"64-bit Xeon 3.00 GHz, 1M Cache, 800 MHz FSB",Discontinued,N/A,1,N/A,3.00,1,L2 Cache,N/A
"64-bit Xeon 3.00 GHz, 1M Cache, 667 MHz FSB",Discontinued,N/A,1,N/A,3.00,2,N/A,N/A
"64-bit Xeon 2.83 GHz, 4M Cache, 667 MHz FSB",Launched,N/A,1,N/A,2.83,4,L2 Cache,N/A
"64-bit Xeon 2.80E GHz, 2M Cache, 800 MHz FSB",Launched,N/A,1,N/A,2.80,2,L2 Cache,N/A
"64-bit Xeon 2.80 GHz, 2M Cache, 800 MHz FSB",Discontinued,N/A,1,N/A,2.80,2,L2 Cache,N/A
"64-bit Xeon 2.80D GHz, 1M Cache, 800 MHz FSB",Discontinued,N/A,1,N/A,2.80,1,L2 Cache,N/A
